clade,svl_max,head_length,head_width,head_depth,radius,humerus,tibia,femur,axilla_to_groin,eye_to_ear,eye_to_snout,front_digit,rear_digit
west,1.723455672,1.256568723,1.00062504,0.851202132,0.987006309,0.870661925,1.054924183,1.047976218,1.492971108,0.614990499,0.862603172,0.602662306,0.791188354
west,1.864511081,1.257312727,1.057873397,0.844770849,0.980501238,0.888612283,1.068970436,1.05123544,1.502158322,0.659912822,0.895351459,0.722534392,0.819007927
west,1.86332286,1.241389946,1.081341045,0.870195842,0.995151355,0.889764648,1.055108669,1.040831768,1.473855387,0.641896226,0.862054157,0.689561622,0.732840978
west,1.848189117,1.244169871,1.044911956,0.831736591,0.970312388,0.914620719,1.062595475,1.072120289,1.503270251,0.677875479,0.865021436,0.737872693,0.754108736
west,1.864511081,1.230059391,1.054055551,0.844770849,0.985020024,0.905132173,1.061496047,1.062662748,1.508937887,0.705004914,0.860859658,0.754255815,0.747556233
west,1.785329835,1.242319793,1.057752031,0.833753279,0.9943316,0.880343869,1.059204237,1.017243636,1.455920547,0.647573302,0.849924815,0.719020583,0.726549633
west,1.833784375,1.243252953,1.0713222,0.865558313,1.006958564,0.932051096,1.07975906,1.078945798,1.486478936,0.709891613,0.889778679,0.65611825,0.718872431
west,1.752048448,1.321652151,1.113798753,0.89807552,1.053110541,0.971013801,1.109776116,1.095596471,1.541659909,0.753090957,0.909986627,0.767343624,0.84733618
west,1.872738827,1.223809058,0.981584638,0.847739433,0.971498346,0.902753089,1.064405795,1.034089592,1.520036002,0.564654345,0.827289694,0.722666226,0.857086883
west,1.766412847,1.262629304,1.028128614,0.832626577,1.001500982,0.906283681,1.078232883,1.066047668,1.498375182,0.582946796,0.877263612,0.700616368,0.813312517
